SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_CREDIT,AMT_INCOME_TOTAL,差值
114967,Cash loans,562491.0,1.17E8,-1.16437509E8
336147,Cash loans,675000.0,1.800009E7,-1.732509E7
385674,Cash loans,1400503.5,1.35E7,-1.20994965E7
190160,Cash loans,1431531.0,9000000.0,-7568469.0
252084,Cash loans,790830.0,6750000.0,-5959170.0
337151,Cash loans,450000.0,4500000.0,-4050000.0
317748,Cash loans,835380.0,4500000.0,-3664620.0
310601,Cash loans,675000.0,3950059.5,-3275059.5
432980,Cash loans,1755000.0,4500000.0,-2745000.0
157471,Cash loans,953460.0,3600000.0,-2646540.0
