SK_ID_CURR,AMT_INCOME_TOTAL,DAYS_BIRTH,avg_income
423344,405000,-21823,18.558401686294278
199074,216000,-11639,18.558295386201564
311861,225000,-12124,18.558231606730452
381284,225000,-12124,18.558231606730452
301934,270000,-14549,18.557976493229773
402467,270000,-14549,18.557976493229773
273688,315000,-16974,18.55779427359491
317001,157500,-8487,18.55779427359491
413821,360000,-19399,18.557657611217074
137479,202500,-10912,18.557551319648095
201986,225000,-12125,18.556701030927837
252094,189000,-10185,18.556701030927837
308428,225000,-12125,18.556701030927837
354780,225000,-12125,18.556701030927837
445328,382500,-20613,18.556250909620143
237406,202500,-10913,18.55585082012279
302569,270000,-14551,18.555425743935125
216964,225000,-12126,18.55517070757051
346199,225000,-12126,18.55517070757051
369179,225000,-12126,18.55517070757051
290867,180000,-9701,18.554788166168436
343389,180000,-9701,18.554788166168436
387456,360000,-19402,18.554788166168436
203074,315000,-16977,18.55451493196678
260457,202500,-10914,18.554150632215503
289455,270000,-14552,18.554150632215503
145777,225000,-12127,18.553640636596025
261962,225000,-12127,18.553640636596025
360701,202500,-10915,18.552450755840585
220866,225000,-12128,18.55211081794195
135328,270000,-14554,18.55160093445101
103601,252000,-13584,18.551236749116608
302147,315000,-16980,18.551236749116608
414304,243000,-13099,18.55103443010917
294848,202500,-10916,18.550751190912422
325718,405000,-21832,18.550751190912422
131160,225000,-12129,18.550581251545882
176398,225000,-12129,18.550581251545882
232456,225000,-12129,18.550581251545882
360470,225000,-12129,18.550581251545882
380888,450000,-24258,18.550581251545882
128111,270000,-14555,18.550326348333908
384369,162000,-8733,18.550326348333908
436280,337500,-18194,18.550071452127074
140958,270000,-14556,18.549051937345425
185381,292500,-15769,18.549051937345425
304894,180000,-9704,18.549051937345425
310264,247500,-13343,18.549051937345425
321063,247500,-13343,18.549051937345425
372138,225000,-12130,18.549051937345425
431553,225000,-12130,18.549051937345425
282811,360000,-19409,18.54809624401051
374989,315000,-16983,18.547959724430314
322391,270000,-14557,18.547777701449476
297945,225000,-12131,18.54752287527821
341316,337500,-18198,18.5459940652819
356342,216000,-11647,18.545548209839442
167978,180000,-9706,18.54522975479085
178439,180000,-9706,18.54522975479085
