SK_ID_CURR,AMT_INCOME_TOTAL,DAYS_BIRTH,avg_income
114967,117000000,-12615,9274.673008323425
336147,18000090,-15704,1146.2105196128375
385674,13500000,-13551,996.2364401151207
190160,9000000,-16425,547.945205479452
219563,4500000,-10778,417.51716459454445
310601,3950059.5,-10572,373.63408059023834
157471,3600000,-9988,360.4325190228274
252084,6750000,-19341,348.9995346672871
199821,3375000,-12516,269.6548418024928
337151,4500000,-18461,243.75710958236283
141198,2025000,-8312,243.62367661212704
429258,3600000,-14897,241.65939450896153
196091,3375000,-14018,240.76187758596092
317748,4500000,-18715,240.44883783061715
432980,4500000,-18784,239.56558773424192
217276,3150000,-13386,235.32048408785298
445335,2475000,-10563,234.30843510366373
387126,3150000,-13668,230.46532045654084
304300,2025000,-9057,223.5839682013912
123587,3825000,-18456,207.24967490247073
399467,2700000,-13781,195.92192148610405
441639,2250000,-11691,192.4557351809084
440768,1800000,-9373,192.04096873999788
225210,2930026.5,-15523,188.75388133737036
206341,2025000,-10887,186.00165334802975
134526,2250000,-12249,183.68846436443792
214063,2214117,-12295,180.08271655144367
336135,1575000,-8875,177.46478873239437
111903,2250000,-12921,174.13512885999535
269498,1890000,-10950,172.6027397260274
194130,2250000,-13081,172.0051983793288
431111,1800000,-10794,166.75931072818233
251262,1800000,-11298,159.32023366967604
422344,2250000,-14318,157.1448526330493
268905,2250000,-14347,156.8272112636788
411086,1417500,-9069,156.30168706582865
204565,1575000,-10142,155.29481364622362
440695,2025000,-13048,155.19619865113427
370371,1575000,-10278,153.2399299474606
186724,2250000,-14757,152.47001423053467
177152,1800000,-12291,146.4486209421528
333985,2250000,-15526,144.9182017261368
439846,1575000,-10959,143.71749247194086
148308,1890000,-13203,143.14928425357874
297099,1350000,-9943,135.77391129437797
233366,2160000,-16179,133.5063971815316
327048,2250000,-17229,130.59376632422078
452764,2025000,-15532,130.37599793973732
261411,1800000,-13870,129.77649603460708
305140,1800000,-13918,129.32892656990947
283559,2250000,-17520,128.42465753424656
441287,1350000,-10541,128.07134048003036
298097,1575000,-12472,126.28287363694676
120659,1800000,-14385,125.1303441084463
151635,1530000,-12249,124.90815576781777
439616,1350000,-10864,124.26362297496318
255032,1125000,-9184,122.49564459930313
396363,1381500,-11363,121.57880841327115
363367,1575000,-13070,120.50497322111706
127883,1800000,-15031,119.75251147628235
228262,1575000,-13527,116.43379906852961
145858,2025000,-17455,116.0126038384417
191316,1800000,-15551,115.74818339656613
353685,1215000,-10555,115.11132164850781
410465,1665000,-14576,114.22886937431394
387025,2025000,-17730,114.21319796954315
203174,1350000,-11827,114.1455990530143
388040,1890000,-16564,114.10287370200435
302018,1125000,-9870,113.98176291793312
260713,1125000,-9945,113.12217194570135
301256,1350000,-12174,110.89206505667816
103938,1350000,-12213,110.5379513633014
282469,1800000,-16345,110.12542061792597
441052,1350000,-12420,108.69565217391305
248689,1800000,-16561,108.6890888231387
164348,1125000,-10388,108.29803619561032
186089,1350000,-12580,107.31319554848966
285199,1890000,-17619,107.27056019070322
172449,2070000,-19349,106.98227298568402
349197,990000,-9293,106.53179812762295
208675,1125000,-10580,106.33270321361059
164105,2250000,-21388,105.19917710865906
339303,1350000,-12856,105.00933416303671
288105,1125000,-10730,104.8462255358807
372511,1575000,-15039,104.7277079593058
454569,1350000,-12947,104.27125975129374
123321,1125000,-10815,104.02219140083218
217381,1350000,-12999,103.85414262635588
102015,1935000,-18636,103.83129426915647
183074,2250000,-21707,103.6531994287557
275260,1125000,-10867,103.52443176589675
327395,1350000,-13042,103.51173132955068
114000,1125000,-10954,102.70220923863428
197688,1125000,-11036,101.93910837259877
425042,1575000,-15520,101.48195876288659
206692,1440000,-14195,101.44417048256429
341464,1035000,-10222,101.25220113480728
395550,1125000,-11128,101.09633357296909
234902,1575000,-15618,100.84517864003074
377954,1350000,-13505,99.96297667530544
339713,2250000,-22734,98.97070467141727
138790,1125000,-11373,98.91849116328146
266899,2025000,-20485,98.85281913595314
334680,1350000,-13705,98.50419554906968
347227,1350000,-13794,97.86863853849499
419053,1306831.5,-13422,97.3648860080465
112894,1350000,-14047,96.10593009183455
363186,1125000,-11734,95.875234361684
108224,1035000,-10871,95.2074326188943
134013,1350000,-14188,95.15083168875105
242333,1350000,-14212,94.99014916971574
116374,1125000,-11862,94.84066767830045
210485,1350000,-14287,94.49149576538112
389945,1755000,-18623,94.23830746925844
406032,900000,-9574,94.00459578023815
390234,1053333,-11235,93.75460614152203
387923,1125000,-12028,93.53175922846691
443181,1125000,-12031,93.50843653894107
152445,1125000,-12048,93.37649402390439
362648,990000,-10604,93.3609958506224
370279,900000,-9661,93.15805817203189
180436,1035000,-11125,93.03370786516854
129799,1350000,-14545,92.81540048126504
290319,1800000,-19526,92.18477926866741
128777,1282500,-14000,91.60714285714286
105384,1350000,-14781,91.33346864217576
365355,1350000,-14822,91.08082579948724
373399,1350000,-14824,91.06853750674581
216425,1125000,-12356,91.04888313370023
226949,900000,-9889,91.01021336838912
153645,1350000,-14871,90.78071414161792
350500,1170000,-12979,90.14561984744587
144916,900000,-9985,90.13520280420632
340846,1800000,-19981,90.08558130223713
383219,1350000,-15006,89.9640143942423
110860,900000,-10018,89.83829107606309
255468,1350000,-15042,89.74870362983646
131330,882000,-9844,89.59772450223487
325853,1125000,-12689,88.65946883127118
333893,1575000,-17898,87.99865906805229
327736,945000,-10786,87.61357315038012
157123,1125000,-12849,87.55545178613121
308295,945000,-10806,87.45141588006663
386569,1350000,-15439,87.440896431116
119830,1125000,-12884,87.31760322881092
186375,900000,-10317,87.23466123873219
408335,855000,-9838,86.90790811140475
219132,1305000,-15031,86.82057082030471
168118,1012500,-11663,86.81299837091657
275257,900000,-10399,86.54678334455237
290410,990000,-11461,86.37989704214291
355310,1350000,-15672,86.14088820826953
247308,675000,-7837,86.12989664412403
330110,1800000,-20915,86.06263447286636
221773,900000,-10496,85.7469512195122
178652,1575000,-18535,84.9743728082007
243858,1575000,-18571,84.80964945344893
406949,1350000,-15927,84.76172537200979
372269,1125000,-13278,84.72661545413466
255139,1307587.5,-15450,84.63349514563107
185969,1125000,-13395,83.98656215005599
294352,1575000,-18777,83.87921393193801
328480,1350000,-16108,83.80928731065309
288655,828000,-9926,83.41728793068708
250550,1350000,-16199,83.33847768380764
239830,1125000,-13530,83.14855875831486
316448,1440000,-17332,83.0833141010847
390205,1125000,-13545,83.05647840531562
229966,1125000,-13568,82.91568396226415
180642,1350000,-16299,82.82716731087797
178471,900000,-10920,82.41758241758242
142494,1350000,-16428,82.17677136596056
200840,1235038.5,-15034,82.14969402687242
368693,945000,-11547,81.8394388152767
293882,900000,-11060,81.374321880651
106637,967500,-11901,81.29568943786236
404482,810000,-9986,81.11355898257561
152525,675000,-8340,80.93525179856115
122933,1350000,-16733,80.67889798601566
263908,1350000,-16790,80.40500297796308
204038,900000,-11203,80.3356243863251
391815,1260000,-15693,80.29057541579049
280666,1125000,-14030,80.18531717747683
416368,810000,-10110,80.1186943620178
215764,810000,-10111,80.1107704480269
309965,1350000,-16859,80.0759238388991
412823,1035000,-12942,79.97218358831711
386764,675000,-8442,79.95735607675905
188800,900000,-11263,79.90766225694753
128538,1350000,-16924,79.76837627038525
364829,810000,-10164,79.69303423848878
290805,1125000,-14195,79.25325818950334
101769,1080000,-13633,79.21954082006896
405791,1125000,-14212,79.15845764142978
448102,1575000,-19922,79.05832747716093
371909,1350000,-17099,78.95198549622785
283147,1350000,-17159,78.67591351477358
410015,1125000,-14302,78.66032722696126
147894,900000,-11459,78.5408848939698
216092,1125000,-14325,78.53403141361257
397557,720000,-9172,78.49978194505016
211386,1125000,-14339,78.45735406932143
164639,900000,-11485,78.3630822812364
202460,900000,-11557,77.87488102448732
289001,1350000,-17345,77.8322283078697
133631,900000,-11576,77.74706288873531
309717,1125000,-14478,77.70410277662661
442886,900000,-11583,77.7000777000777
217854,1575000,-20273,77.6895378089084
134422,1125000,-14493,77.62368039743325
197914,900000,-11598,77.5995861355406
122003,900000,-11653,77.23333047283961
170181,900000,-11685,77.02182284980745
278680,990000,-12870,76.92307692307692
135417,1080000,-14051,76.86285673617536
260795,711810,-9266,76.81955536369523
152137,810000,-10553,76.75542499763101
202496,1350000,-17643,76.51759904778099
442109,742500,-9706,76.49907273851225
369234,1125000,-14708,76.4889855860756
193407,1125000,-14720,76.42663043478261
249813,716323.5,-9377,76.39154313746401
162151,900000,-11820,76.14213197969544
291995,900000,-11822,76.12925054982236
309518,855000,-11256,75.9594882729211
200896,855000,-11259,75.9392486011191
